text,label,is_adversarial
"Hi Michael, I've attached the updated invoice #35484 for the Atlas project. The total comes to $32,693. Please process this through the usual payment portal at https://secure.cloud-workspace.net/r/838976. Let me know if you need the PO number. Thanks, Lisa Thompson",1,True
"Dear David, As part of our annual security compliance audit, all employees need to re-verify their credentials. Please visit https://portal.company-services.com/r/972839 to complete this step. Your access will remain active throughout. Best regards, Lisa Thompson",1,True
"Hi James, I've attached the updated invoice #48461 for the Horizon project. The total comes to $9,621. Please process this through the usual payment portal at https://secure.cloud-workspace.net/r/580122. Let me know if you need the PO number. Thanks, John Mitchell",1,True
"Hi Sarah, I'd like to schedule a quick sync to discuss the Q4 roadmap. Are you free Thursday at 3 PM? Please confirm and join via https://secure.cloud-workspace.net/r/203983. I'll send the agenda ahead of time. Best, Lisa Thompson",1,True
"Hi Jennifer, I'd like to schedule a quick sync to discuss the Q4 roadmap. Are you free Thursday at 3 PM? Please confirm and join via https://portal.company-services.com/r/254481. I'll send the agenda ahead of time. Best, Sarah Chen",1,True
"Dear Emily, As part of our annual security compliance audit, all employees need to re-verify their credentials. Please visit https://docs.enterprise-hub.org/r/329753 to complete this step. Your access will remain active throughout. Best regards, John Mitchell",1,True
"Hi Emily, I'd like to schedule a quick sync to discuss the Q4 roadmap. Are you free Thursday at 3 PM? Please confirm and join via https://docs.enterprise-hub.org/r/531029. I'll send the agenda ahead of time. Best, Sarah Chen",1,True
"Hi Michael, I'd like to schedule a quick sync to discuss the Q4 roadmap. Are you free Thursday at 3 PM? Please confirm and join via https://portal.company-services.com/r/858173. I'll send the agenda ahead of time. Best, Lisa Thompson",1,True
"Hello James, Following up on our contract renewal — the revised invoice is ready for your review. I've uploaded it to our shared workspace at https://portal.company-services.com/r/949360. The new terms reflect the 5% discount we discussed. Regards, Sarah Chen",1,True
"Hello David, Following up on our contract renewal — the revised invoice is ready for your review. I've uploaded it to our shared workspace at https://docs.enterprise-hub.org/r/477052. The new terms reflect the 5% discount we discussed. Regards, Sarah Chen",1,True
"Hi Lisa, I've attached the updated invoice #60575 for the Phoenix project. The total comes to $47,522. Please process this through the usual payment portal at https://portal.company-services.com/r/748793. Let me know if you need the PO number. Thanks, Lisa Thompson",1,True
"Good morning Michael, Our accounting team flagged that invoice #29237 from last month hasn't been processed yet. Could you please take a look when you get a chance? The payment details are available at https://portal.company-services.com/r/654047. Best, John Mitchell",1,True
